"","word","values"
"587","Gaunern","-0.4592"
"588","Gauners","-0.4592"
"589","Gebrechen","-0.3251"
"590","Gebrechens","-0.3251"
"591","Gedränge","-0.0571"
"592","Gedrängen","-0.0571"
"593","Gedränges","-0.0571"
"594","Gefahr","-1.0"
"595","Gefahren","-1.0"
"596","Gefecht","-0.3373"
"597","Gefechten","-0.3373"
"598","Gefechtes","-0.3373"
"599","Gefechte","-0.3373"
"600","Gefechts","-0.3373"
"601","Gefährdung","-0.0048"
"602","Gefährdungen","-0.0048"
"603","Gegner","-0.344"
"604","Gegnern","-0.344"
"605","Gegners","-0.344"
"606","Geisteskrankheit","-0.0048"
"607","Geisteskrankheiten","-0.0048"
"608","Geistlosigkeit","-0.0048"
"609","Geistlosigkeiten","-0.0048"
"610","Geiz","-0.0048"
"611","Geizen","-0.0048"
"612","Geizes","-0.0048"
"613","Geize","-0.0048"
"614","Geizs","-0.0048"
"615","Geizhals","-0.0048"
"616","Geizhälsen","-0.0048"
"617","Geizhälse","-0.0048"
"618","Geizhalss","-0.0048"
"619","Geizhalses","-0.0048"
"620","Geizkragen","-0.0048"
"621","Geizkragens","-0.0048"
"622","Geldstrafe","-0.3299"
"623","Geldstrafen","-0.3299"
"624","Geschmacklosigkeit","-0.0048"
"625","Geschmacklosigkeiten","-0.0048"
"626","Geschäftsauflösung","-0.0048"
"627","Geschäftsauflösungen","-0.0048"
"628","Gestank","-0.0048"
"629","Gestanks","-0.0048"
"630","Gestankes","-0.0048"
"631","Gewalt","-0.5363"
"632","Gewalten","-0.5363"
"633","Gewalttätige","-0.0048"
"634","Gewalttätiger","-0.0048"
"635","Gift","-0.3505"
"636","Gifts","-0.3505"
"637","Giftes","-0.3505"
"638","Giften","-0.3505"
"639","Gifte","-0.3505"
"640","Glanzlosigkeit","-0.0048"
"641","Gleichgültigkeit","-0.343"
"642","Glücklosigkeit","-0.0048"
"643","Gnadenlosigkeit","-0.0048"
"644","Grausamkeit","-0.3348"
"645","Grausamkeiten","-0.3348"
"646","Groll","-0.6021"
"647","Grolls","-0.6021"
"648","Grolles","-0.6021"
"649","Groteske","-0.0048"
"650","Grotesken","-0.0048"
"651","Habgier","-0.0532"
"652","Haft","-0.0048"
"653","Hafte","-0.0048"
"654","Hafts","-0.0048"
"655","Haften","-0.0048"
"656","Haftes","-0.0048"
"657","Handgemenge","-0.3174"
"658","Handgemenges","-0.3174"
"659","Handgemengen","-0.3174"
"660","Handicap","-0.0426"
"661","Handicaps","-0.0426"
"662","Hass","-0.5014"
"663","Hasss","-0.5014"
"664","Heimsuchung","-0.0048"
"665","Heimsuchungen","-0.0048"
"666","Hektik","-0.0048"
"667","Hemmung","-0.0048"
"668","Hemmungen","-0.0048"
"669","Herausforderung","-0.0048"
"670","Herausforderungen","-0.0048"
"671","Heuchelei","-0.0048"
"672","Heucheleien","-0.0048"
"673","Heuchler","-0.3251"
"674","Heuchlers","-0.3251"
"675","Heuchlern","-0.3251"
"676","Hilflosigkeit","-0.3394"
"677","Hindernis","-0.0048"
"678","Hinderniss","-0.0048"
"679","Hindernises","-0.0048"
"680","Hindernisses","-0.0048"
"681","Hindernise","-0.0048"
"682","Hindernisen","-0.0048"
"683","Hindernissen","-0.0048"
"684","Hindernisse","-0.0048"
"685","Hinterhalt","-0.0048"
"686","Hinterhaltes","-0.0048"
"687","Hinterhalts","-0.0048"
"688","Hinterhalte","-0.0048"
"689","Hinterhalten","-0.0048"
"690","Hinterlist","-0.0048"
"691","Hohn","-0.0048"
"692","Hohnes","-0.0048"
"693","Hohns","-0.0048"
"694","Horror","-0.0509"
"695","Horrors","-0.0509"
"696","Hunger","-0.3531"
"697","Hungeres","-0.3531"
"698","Hungers","-0.3531"
"699","Hungersnot","-0.4739"
"700","Hungersnöten","-0.4739"
"701","Hungersnöte","-0.4739"
"702","Hungertod","-0.0048"
"703","Hungertods","-0.0048"
"704","Hysterie","-0.3386"
"705","Hysterien","-0.3386"
"706","Härte","-0.0446"
"707","Härten","-0.0446"
"708","Hölle","-0.5052"
"709","Höllen","-0.5052"
"710","Idiot","-0.0048"
"711","Idioten","-0.0048"
"712","Illegalität","-0.0048"
"713","Illegalitäten","-0.0048"
"714","Immobilität","-0.0048"
"715","Ineffizienz","-0.0048"
"716","Ineffizienzen","-0.0048"
"717","Infektion","-0.2059"
"718","Infektionen","-0.2059"
"719","Infiltration","-0.0048"
"720","Infiltrationen","-0.0048"
"721","Inflation","-0.3462"
"722","Inflationen","-0.3462"
"723","Inkompetenz","-0.0048"
"724","Inkompetenzen","-0.0048"
