"number","text","code","Anmerkung"
"215","@thomaswinzer @larsklingbeil Was die Digitalisierung anbetrifft, stimmt diese Einschätzung nicht!","",""
"216","Malu #Dreyer zu #Aufstehen: ""Die SPD ist seit 155 Jahren die linke Sammelbewegung, die aufsteht gegen Unrecht. Warum sollten daher Sozialdemokraten eine PR-Aktion unterstützen, die ein Politiker-Pärchen nur zur eigenen Publicity ins Leben rufen will?“ https://t.co/SUM5rAiDqT","",""
"217","Europa fängt an unserer Haustür an!
@fraeuleinfein und @UdoBullmann über die Bedeutung von Städtepartnerschaften und transnationaler Zivilgesellschaft. Gekrönt durch den Sieg der Eintracht in der Europa League. Tolle Veranstaltung. https://t.co/RF690qqwAX","",""
"218","Übrigens: Alle Parteien schicken heute ihre Spitzenkandidaten in die Sendung #hrwahl. Nur #Bouffier kneift. #ltwhe #tsg18","",""
"219","Der aktuelle Frauenanteil im Bundestag von 30% ist für das Jahr 2018 beschämend! Da es offenbar nicht von alleine klappt, liegt es im Zweifel am Gesetzgeber etwas zu tun. #quote https://t.co/0o3LujXyv7","",""
"221","Die SPD in Bayern auf Platz 5. Immerhin noch einen Platz vorm FC Bayern.","",""
"222","Liebe @tagesschau, kann es sein, dass in den 20.00 Uhr Nachrichten der Bericht über den Parteitag der AfD in Thüringen länger war als der über #wirsindmehr, eine Demo von 242.000 Menschen?","",""
"224","""Irgendwelche Machos aus Bayern spalten Bayern - Deutschland und Europa. Lasst uns als ASF zusammen stehen und dagegen angehen"" Manuela Schwesig #mehrAsF #AndreaGerlachSPDdigital #SPDerneuern https://t.co/93otWB442L","",""
"227","WIr haben heute einen Gesetzentwurf vorgelegt, um die Straßenausbaubeiträge in Hessen abzuschaffen. Und zwar richtig. Die entfallenden Einnahmen soll das Land den Kommunen über einen Investitionsfonds ersetzen. So bringen wir die Entlastung der Bürger*innen voran https://t.co/U0Euahyxkq","",""
"228","Quick Overview über das aktuell diskutierte DSGVO beim Webmontag in Frankfurt #wmfra #AndreaGerlachSPD https://t.co/dWe6tB1KFw","",""
"230","@jensbest ... you are Batman!","",""
"233","gleich geht’s mit @AndreaGerlach5 durchs Brühl. Weil‘s um #Bildung, #Wohnen und #Mobilität geht. Und bei uns zwei natürlich auch um #Digitalisierung. #Egelsbach #ltwhe18 #tsg18","",""
"236","50% der Hessen sind Frauen. Zeit, Ihnen zuzuhören und mit Ihnen zu diskutieren.@tsghessen lädt Sie/uns dazu am 18.10. in Frankfurt ein. Kommt zahlreich und platziert feministische und frauenpolitische Anliegen.Für ein Hessen von morgen #tsg18 #ltwhe18 #AndreaGerlachSPDdigital https://t.co/Wfn3EKLVou","",""
"237","@NataschaKohnen sagt ""Anstand"", @MichelleObama sagt ""when they go low, we go high"" und auch ich schließe mich dem 20 Tage vor der Landtagswahl an. Anstand ist meine beste Antwort!","",""
"238","Ein gravierender Denkfehler bei der Pro- und Kontra-Positionierung im Kontext des digitalen Wandels ist, dass Pro und Kontra in der Regel als ""den Wandel wollen oder nicht wollen"" verstanden wird. Es steht aber für ""sich mit dem Wandel auseinandersetzen wollen oder nicht wollen"".","",""
"239","@tsghessen @Eintracht #nurdieSGE","",""
"241","Was CDU und Grüne heute in Sachen Verfassungsschutzgesetz im #hlt durchgepeitscht haben, ist ein Tiefpunkt parlamentarischer und politischer Kultur. Schämt Euch!","",""
"243","Die erste Ministerin in einer SPD geführten Landesregierung steht fest! @NancyFaeser wäre die einzig weibliche Innenministerin Deutschlands. Das ist Zukunft,das ist Erneuerung und das ist der Wechsel nach 19Jahren Stillstand!#tsg18 #AndreaGerlachSPDdigital #LTWHE18 https://t.co/0H04kzqcHG","",""
"245","Henning Harnisch präsentiert seine Sportidee in Langen. Wir können Modellregion für Sport und Schulkooperation werden! Dafür am 28.10 beide Stimmen für die SPD. #tsg18 #ltwhe18 #AndreaGerlachSPDdigital #96StundenbiszurWahl https://t.co/xTry846Wk8","",""
"249","Die Bundesliga geht los - Das Wochenende bekommt wieder mehr Sinn. Auf eine erfolgreiche Saison<U+2661>... Ich hab vom Feeling her ein gutes Gefühl<U+0001F60B> #nurdieSge #Eintracht #SGE #Bundesliga https://t.co/JYBjeqzSnq","",""
"252","Ich dachte Presseboykott gäbe es nur bei Trump. Gute Reaktion der FR auf Interviewverweigerer Bouffier. https://t.co/v26IBpHTxw","",""
"253","Ein Mann - ein Wort! Eine Stadt - ein Verein. @Eintracht, @tsghessen wird sich gegen die Willkür des DFBs insofern einsetzen als dass wir mehr Spiele bei der EM bekommen sollen. #tsg18 #Nurdiesge https://t.co/s6UWanwVuE","",""
"254","Eine Wohnung ist keine Ware - sie ist ein Zuhause! Wir schaffen neue Regeln, um Mieter besser vor Wucher und Luxussanierungen zu schützen. #mieterschutz https://t.co/oT8vSd3MqQ","",""
"257","Am 7.6 kommt Katarina Barley zu mir in den Wahlkreis, um mit Bürger*innen über bezahlbaren Wohnraum und eine Verschärfung der Mietpreisbremse zu diskutieren. 7.6 15 Uhr Bürgerhaus Dreieich! #LTWHE18 #Tsg18 https://t.co/P8yQlrbhW1","",""
"258","@sms2sms @endataflo @tsghessen @pachmajer Wer kompetent ist, darf auch dazu stehen. Wir haben in der Tat die Herausforderung, die Menschen auf den Wandel vorzubereiten","",""
"262","Übergabe der Mängelliste an den Schulträger Kreis Offenbach. Brandbriefe der Lehrkräfte und Erzieher*innen wurden an uns als Vertreter*innen des Kreises übergeben. Die Bindungen im Bereich Bildung müssen sich unbedingt verbessern. #tsg18 #AndreaGerlachSPDdigital #SPD #LTW18 https://t.co/MJl7oiQlmp","",""
"264","Meine große Liebe seit ich laufen kann... #Pokalsieger #dieRÜCKKEHR #SGE #DFBPokal https://t.co/Jxar3d261W","",""
"265","Die Rückkehr der Adler #Eintrachtfrankfurt #SGE #Pokalfinale #dieRÜCKKEHR https://t.co/4vM17uKqcb","",""
"268","Worüber hat Maaßen eigentlich so promoviert? „Die Rechtsstellung des Asylbewerbers im Völkerrecht“. Darin beschwert er sich 1997 über die „unkontrollierte Masseneinwanderung“. Unkontrolliert! 1997! 
Aber eine politische Agenda hat der Mann natürlich nicht. https://t.co/mPY37of7L4","",""
"273","Und ist das jetzt ein Symboldbild dafür, wie ähnlich sich CDU und Grüne in fünf Jahren Koalition geworden sind? <U+0001F609> https://t.co/KQueZqIM7T","",""
"278","Noch 47 Stunden! Endspurt. #tsg18 #LTWHE18 #SPD #AndreaGerlachSPDdigital https://t.co/RZbzZrqOqb","",""
"279","@EvaHoegl und @UlliNissen über die Haltung der SPD zur Abschaffung von 219a! Wir Sozialdemokratinnen stehen und kämpfen geschlossen für die Abschaffung von 219a aus dem Strafgesetzbuch! https://t.co/3FOwNc7dmK","",""
"281","@roewi @spdde Diese Daten sind für alle Parteien bei den Städten zu bekommen!","",""
"282","@judith_klose Jeder blamiert sich so gut er kann...","",""
"288","#Egelsbachistmehr. Die kleinste Stadt meines Wahlkreises hat sich heute gegen rechts positioniert. Mein Handabdruck gegen rechts ist selbstredend.#tsg18 #AndreaGerlachSPDdigital #Egelsbach #SPD #ltwhe18 #WK44 https://t.co/z16PISzKFK","",""
"291","2000 Erstwählerbriefe handschriftlich unterschrieben. Wer seitdem er auf der Welt ist, nur die CDU als regierende Partei in Hessen kennt, braucht mal persönliche Ansprache! Die SPD macht auch Politik für junge Menschen! -#tsg18 #LTWHE18 #AndreaGerlachSPDdigital https://t.co/KYxdLbGNBM","",""
"295","In Bayern und Hessen ist die Union der größte Bodenspekulant! Die Schaffung von bezahlbarem Wohnraum für alle muss immer vor wirtschaftliche Interessen gestellt werden. Am 28.10 SPD wählen!#TSG18 #AndreaGerlachSPDdigital #LTWHE18 #SPD https://t.co/BbfCJiLdk0","",""
"298","Wir wollen unsere Schulen modernisieren! #tsg18 https://t.co/SipU2frgLR","",""
"299","@jensbest Weil sie es generell nicht gewohnt sind, sich selbst kritisch zu hinterfragen","",""
"302","@m4sp0 @herrlarbig Welche Schule?","",""
"303","Das hat Stil...@ManuelaSchwesig geht nach dem interkulturellen Frühstück spontan über die Straße und spricht im Weltladen Langen! Mega! https://t.co/4SLLI9Stiy","",""
